date,variant
2021-03-13,original
2021-03-13,original
2021-03-13,original
2021-03-13,original
2021-03-13,original
2021-03-13,original
2021-03-13,original
2021-03-14,original
2021-03-14,original
2021-03-14,original
2021-03-14,original
2021-03-14,original
2021-03-14,original
2021-03-14,original
2021-03-14,original
2021-03-14,original
2021-03-14,original
2021-03-14,original
2021-03-14,original
2021-03-14,original
2021-03-14,original
2021-03-14,original
2021-03-14,original
2021-03-14,original
2021-03-14,original
2021-03-14,original
2021-03-14,original
2021-03-14,original
2021-03-14,original
2021-03-14,original
2021-03-14,original
2021-03-14,original
2021-03-14,original
2021-03-14,original
2021-03-15,original
2021-03-15,original
2021-03-15,original
2021-03-15,original
2021-03-15,original
2021-03-15,original
2021-03-15,original
2021-03-15,original
2021-03-15,original
2021-03-15,original
2021-03-15,original
2021-03-15,original
2021-03-15,original
2021-03-15,original
2021-03-15,original
2021-03-15,original
2021-03-15,original
2021-03-15,original
2021-03-15,original
2021-03-15,original
2021-03-15,original
2021-03-15,original
2021-03-15,original
2021-03-16,original
2021-03-16,original
2021-03-16,original
2021-03-16,original
2021-03-16,original
2021-03-16,original
2021-03-16,original
2021-03-16,original
2021-03-16,original
2021-03-16,original
2021-03-16,original
2021-03-16,original
2021-03-16,original
2021-03-16,original
2021-03-16,original
2021-03-16,original
2021-03-16,original
2021-03-16,original
2021-03-16,original
2021-03-16,original
2021-03-16,original
2021-03-16,original
2021-03-16,original
2021-03-16,original
2021-03-16,original
2021-03-17,original
2021-03-17,original
2021-03-17,original
2021-03-17,original
2021-03-17,original
2021-03-17,original
2021-03-17,original
2021-03-17,original
2021-03-17,original
2021-03-17,original
2021-03-17,original
2021-03-17,original
2021-03-17,original
2021-03-17,original
2021-03-17,original
2021-03-17,original
2021-03-17,original
2021-03-17,original
2021-03-17,original
2021-03-17,original
2021-03-17,original
2021-03-17,original
2021-03-17,original
2021-03-17,original
2021-03-17,original
2021-03-17,delta
2021-03-18,original
2021-03-18,original
2021-03-18,original
2021-03-18,original
2021-03-18,original
2021-03-18,original
2021-03-18,original
2021-03-18,original
2021-03-18,original
2021-03-18,original
2021-03-18,original
2021-03-18,original
2021-03-18,original
2021-03-18,original
2021-03-18,original
2021-03-18,original
2021-03-18,original
2021-03-18,original
2021-03-18,original
2021-03-18,original
2021-03-18,original
2021-03-18,original
2021-03-18,original
2021-03-18,original
2021-03-18,original
2021-03-18,original
2021-03-18,original
2021-03-18,original
2021-03-19,original
2021-03-19,original
2021-03-19,original
2021-03-19,original
2021-03-19,original
2021-03-19,original
2021-03-19,original
2021-03-19,original
2021-03-19,original
2021-03-19,original
2021-03-19,original
2021-03-19,original
2021-03-19,original
2021-03-19,original
2021-03-19,original
2021-03-19,original
2021-03-19,original
2021-03-19,original
2021-03-19,original
2021-03-19,original
2021-03-19,original
2021-03-19,original
2021-03-19,original
2021-03-19,original
2021-03-19,original
2021-03-19,original
2021-03-20,original
2021-03-20,original
2021-03-20,original
2021-03-20,original
2021-03-20,original
2021-03-20,original
2021-03-20,original
2021-03-20,original
2021-03-20,original
2021-03-20,original
2021-03-20,original
2021-03-20,original
2021-03-20,original
2021-03-20,original
2021-03-20,original
2021-03-20,original
2021-03-20,original
2021-03-20,original
2021-03-20,original
2021-03-20,original
2021-03-20,original
2021-03-20,original
2021-03-20,original
2021-03-20,original
2021-03-21,original
2021-03-21,original
2021-03-21,original
2021-03-21,original
2021-03-21,original
2021-03-21,original
2021-03-21,original
2021-03-22,original
2021-03-22,original
2021-03-22,original
2021-03-22,original
2021-03-22,original
2021-03-22,original
2021-03-22,original
2021-03-22,original
2021-03-22,original
2021-03-22,original
2021-03-22,original
2021-03-22,original
2021-03-22,original
2021-03-22,original
2021-03-22,original
2021-03-22,original
2021-03-22,original
2021-03-22,original
2021-03-22,original
2021-03-22,original
2021-03-22,original
2021-03-22,original
2021-03-22,original
2021-03-22,original
2021-03-22,original
2021-03-22,original
2021-03-22,original
2021-03-22,original
2021-03-22,original
2021-03-22,original
2021-03-22,original
2021-03-22,original
2021-03-23,original
2021-03-23,original
2021-03-23,original
2021-03-23,original
2021-03-23,original
2021-03-23,original
2021-03-23,original
2021-03-23,original
2021-03-23,original
2021-03-23,original
2021-03-23,original
2021-03-23,original
2021-03-23,original
2021-03-23,original
2021-03-23,original
2021-03-23,original
2021-03-23,original
2021-03-23,original
2021-03-23,original
2021-03-23,original
2021-03-23,original
2021-03-23,original
2021-03-24,original
2021-03-24,original
2021-03-24,original
2021-03-24,original
2021-03-24,original
2021-03-24,original
2021-03-24,original
2021-03-24,original
2021-03-24,original
2021-03-24,original
2021-03-24,original
2021-03-24,original
2021-03-24,original
2021-03-24,original
2021-03-24,original
2021-03-24,original
2021-03-24,original
2021-03-24,original
2021-03-24,original
2021-03-24,original
2021-03-24,original
2021-03-24,original
2021-03-24,original
2021-03-24,original
2021-03-25,original
2021-03-25,original
2021-03-25,original
2021-03-25,original
2021-03-25,original
2021-03-25,original
2021-03-25,original
2021-03-25,original
2021-03-25,original
2021-03-25,original
2021-03-25,original
2021-03-25,original
2021-03-25,original
2021-03-25,original
2021-03-25,original
2021-03-25,original
2021-03-25,original
2021-03-25,original
2021-03-25,original
2021-03-25,original
2021-03-25,original
2021-03-25,original
2021-03-25,original
2021-03-25,original
2021-03-25,original
2021-03-25,original
2021-03-25,original
2021-03-25,delta
2021-03-25,original
2021-03-25,original
2021-03-25,original
2021-03-26,original
2021-03-26,original
2021-03-26,original
2021-03-26,original
2021-03-26,original
2021-03-26,original
2021-03-26,original
2021-03-26,original
2021-03-26,original
2021-03-26,original
2021-03-26,original
2021-03-26,original
2021-03-26,original
2021-03-26,original
2021-03-26,original
2021-03-26,original
2021-03-26,original
2021-03-26,original
2021-03-27,original
2021-03-27,original
2021-03-27,original
2021-03-27,original
2021-03-27,original
2021-03-27,original
2021-03-27,original
2021-03-27,original
2021-03-27,original
2021-03-27,original
2021-03-27,original
2021-03-27,original
2021-03-27,original
2021-03-27,original
2021-03-27,original
2021-03-27,original
2021-03-27,original
2021-03-27,original
2021-03-27,original
2021-03-27,original
2021-03-27,original
2021-03-27,original
2021-03-27,original
2021-03-27,original
2021-03-27,original
2021-03-27,original
2021-03-27,original
2021-03-27,original
2021-03-27,original
2021-03-27,original
2021-03-27,original
2021-03-27,original
2021-03-28,original
2021-03-28,original
2021-03-28,original
2021-03-28,original
2021-03-28,original
2021-03-29,original
2021-03-29,original
2021-03-29,original
2021-03-29,original
2021-03-29,original
2021-03-29,original
2021-03-29,original
2021-03-29,original
2021-03-29,original
2021-03-29,original
2021-03-30,original
2021-03-30,original
2021-03-30,original
2021-03-30,original
2021-03-30,original
2021-03-30,original
2021-03-30,original
2021-03-30,original
2021-03-30,original
2021-03-30,original
2021-03-30,original
2021-03-30,original
2021-03-30,original
2021-03-30,original
2021-03-30,original
2021-03-30,original
2021-03-30,original
