date,cases,deaths,admissions
2021-01-26,617,8,67
2021-01-27,603,10,70
2021-01-28,576,10,70
2021-01-29,563,10,69
2021-01-30,571,9,67
2021-01-31,567,8,65
2021-02-01,529,10,59
2021-02-02,535,9,55
2021-02-03,526,9,51
2021-02-04,491,8,51
2021-02-05,503,8,47
2021-02-06,423,8,50
2021-02-07,405,9,51
2021-02-08,406,6,52
2021-02-09,380,7,55
2021-02-10,385,6,57
2021-02-11,401,6,56
2021-02-12,382,6,56
2021-02-13,395,6,53
2021-02-14,403,6,50
2021-02-15,404,6,49
2021-02-16,398,7,45
2021-02-17,416,7,44
2021-02-18,381,7,44
2021-02-19,371,7,43
2021-02-20,370,8,43
2021-02-21,363,7,43
2021-02-22,359,8,43
2021-02-23,362,7,45
2021-02-24,368,6,44
2021-02-25,383,7,43
2021-02-26,374,5,42
2021-02-27,356,7,42
2021-02-28,354,8,43
2021-03-01,339,7,45
2021-03-02,352,8,42
2021-03-03,312,7,43
2021-03-04,312,6,42
2021-03-05,315,7,43
2021-03-06,313,5,43
2021-03-07,312,5,41
2021-03-08,321,4,41
2021-03-09,296,4,41
2021-03-10,308,3,40
2021-03-11,293,4,40
2021-03-12,292,3,40
2021-03-13,307,3,40
2021-03-14,300,3,40
2021-03-15,303,3,39
2021-03-16,321,3,39
2021-03-17,324,3,39
2021-03-18,331,4,39
2021-03-19,331,4,40
2021-03-20,327,3,39
2021-03-21,334,3,40
2021-03-22,325,4,40
2021-03-23,321,2,39
2021-03-24,317,2,38
2021-03-25,328,2,37
2021-03-26,341,4,36
2021-03-27,358,3,38
2021-03-28,374,3,39
2021-03-29,386,3,40
2021-03-30,370,4,42
2021-03-31,377,5,43
2021-04-01,407,4,44
2021-04-02,418,2,45
2021-04-03,414,3,46
2021-04-04,400,2,45
2021-04-05,411,3,46
2021-04-06,431,2,44
2021-04-07,440,1,46
2021-04-08,427,2,45
2021-04-09,424,2,46
2021-04-10,428,3,48
2021-04-11,446,3,47
2021-04-12,422,2,47
2021-04-13,461,3,47
2021-04-14,476,3,46
2021-04-15,475,3,48
2021-04-16,480,2,46
2021-04-17,483,3,45
2021-04-18,491,3,45
2021-04-19,515,3,46
2021-04-20,486,2,46
2021-04-21,461,3,46
2021-04-22,475,3,47
2021-04-23,459,4,47
2021-04-24,470,3,48
2021-04-25,447,3,49
2021-04-26,443,3,50
2021-04-27,437,3,52
2021-04-28,441,4,53
2021-04-29,419,4,53
2021-04-30,432,4,53
2021-05-01,410,5,52
2021-05-02,408,5,52
2021-05-03,398,4,48
2021-05-04,379,4,47
2021-05-05,373,4,48
2021-05-06,365,5,46
2021-05-07,339,5,44
2021-05-08,321,4,43
2021-05-09,307,5,41
2021-05-10,299,5,44
2021-05-11,299,5,43
2021-05-12,291,3,41
2021-05-13,283,3,43
2021-05-14,283,3,44
2021-05-15,283,3,43
2021-05-16,279,3,41
2021-05-17,273,3,39
2021-05-18,272,3,36
2021-05-19,271,5,35
2021-05-20,256,6,32
2021-05-21,243,6,29
2021-05-22,238,6,28
2021-05-23,231,6,28
2021-05-24,230,5,29
2021-05-25,216,6,30
2021-05-26,205,4,30
2021-05-27,200,4,30
2021-05-28,201,4,31
2021-05-29,162,3,31
2021-05-30,143,3,32
2021-05-31,129,3,31
2021-06-01,175,2,30
2021-06-02,163,2,31
2021-06-03,162,0,30
2021-06-04,127,0,28
2021-06-05,178,0,27
2021-06-06,178,0,26
2021-06-07,178,0,26
2021-06-08,106,0,24
2021-06-09,83,0,22
2021-06-10,51,0,22
