age,start,end,duration
44,outdoor,outdoor,10
44,outdoor,outdoor,60
44,outdoor,restaurant,60
44,restaurant,restaurant,10
44,restaurant,restaurant,60
44,restaurant,outdoor,10
44,outdoor,outdoor,15
44,outdoor,outdoor,5
44,outdoor,restaurant,60
44,restaurant,house,60
45,house,workplace,360
45,workplace,outdoor,30
45,outdoor,outdoor,15
45,outdoor,grocery,20
45,grocery,restaurant,30
45,restaurant,outdoor,299
45,outdoor,outdoor,284
45,outdoor,outdoor,15
45,outdoor,restaurant,30
45,restaurant,restaurant,5
45,restaurant,house,5
46,house,workplace,170
46,workplace,outdoor,30
46,outdoor,outdoor,60
46,outdoor,outdoor,20
46,outdoor,outdoor,15
46,outdoor,restaurant,15
46,restaurant,outdoor,15
46,outdoor,outdoor,10
46,outdoor,outdoor,20
46,outdoor,grocery,30
46,grocery,restaurant,60
46,restaurant,grocery,120
46,grocery,grocery,10
46,grocery,workplace,135
46,workplace,outdoor,20
46,outdoor,restaurant,98
46,restaurant,outdoor,20
46,outdoor,outdoor,135
46,outdoor,outdoor,150
46,outdoor,house,150
47,house,workplace,420
47,workplace,outdoor,90
47,outdoor,outdoor,30
47,outdoor,workplace,180
47,workplace,restaurant,60
47,restaurant,outdoor,30
47,outdoor,outdoor,30
47,outdoor,workplace,235
47,workplace,restaurant,15
47,restaurant,house,15
48,house,workplace,417
48,workplace,outdoor,1
48,outdoor,outdoor,80
48,outdoor,workplace,146
48,workplace,outdoor,5
48,outdoor,outdoor,120
48,outdoor,outdoor,30
48,outdoor,workplace,60
48,workplace,grocery,60
48,grocery,outdoor,60
48,outdoor,outdoor,240
48,outdoor,house,240
49,house,workplace,180
49,workplace,workplace,180
49,workplace,outdoor,120
49,outdoor,restaurant,30
49,restaurant,outdoor,10
49,outdoor,restaurant,20
49,restaurant,workplace,178
49,workplace,workplace,235
49,workplace,outdoor,5
49,outdoor,workplace,160
49,workplace,restaurant,30
49,restaurant,house,30
50,house,workplace,405
50,workplace,restaurant,86
50,restaurant,restaurant,326
50,restaurant,restaurant,30
50,restaurant,outdoor,10
50,outdoor,outdoor,120
50,outdoor,outdoor,90
50,outdoor,house,90
51,house,workplace,262
51,workplace,workplace,238
51,workplace,workplace,246
51,workplace,restaurant,60
51,restaurant,restaurant,45
51,restaurant,restaurant,5
51,restaurant,outdoor,90
51,outdoor,grocery,20
51,grocery,restaurant,30
51,restaurant,outdoor,60
51,outdoor,house,60
52,house,outdoor,10
52,outdoor,workplace,255
52,workplace,school,370
52,school,outdoor,135
52,outdoor,restaurant,60
52,restaurant,outdoor,10
52,outdoor,grocery,15
52,grocery,restaurant,128
52,restaurant,outdoor,195
52,outdoor,house,195
53,house,workplace,750
53,workplace,outdoor,40
53,outdoor,restaurant,15
53,restaurant,workplace,105
53,workplace,outdoor,15
53,outdoor,outdoor,150
53,outdoor,outdoor,30
53,outdoor,house,30
54,house,workplace,690
54,workplace,outdoor,90
54,outdoor,outdoor,5
54,outdoor,grocery,90
54,grocery,worship,45
54,worship,outdoor,85
54,outdoor,workplace,45
54,workplace,outdoor,5
54,outdoor,house,5
55,house,workplace,360
55,workplace,workplace,120
55,workplace,grocery,5
55,grocery,grocery,60
55,grocery,outdoor,20
55,outdoor,outdoor,10
55,outdoor,outdoor,15
55,outdoor,restaurant,221
55,restaurant,outdoor,5
55,outdoor,outdoor,150
55,outdoor,outdoor,8
55,outdoor,outdoor,60
55,outdoor,outdoor,45
55,outdoor,house,45
56,house,workplace,455
56,workplace,restaurant,25
56,restaurant,restaurant,20
56,restaurant,workplace,240
56,workplace,outdoor,5
56,outdoor,grocery,30
56,grocery,restaurant,20
56,restaurant,outdoor,3
56,outdoor,outdoor,10
56,outdoor,restaurant,5
56,restaurant,outdoor,20
56,outdoor,workplace,60
56,workplace,outdoor,397
56,outdoor,house,397
57,house,workplace,270
57,workplace,grocery,120
57,grocery,outdoor,30
57,outdoor,restaurant,30
57,restaurant,outdoor,40
57,outdoor,restaurant,230
57,restaurant,outdoor,5
57,outdoor,restaurant,15
57,restaurant,outdoor,15
57,outdoor,restaurant,110
57,restaurant,restaurant,30
57,restaurant,outdoor,20
57,outdoor,workplace,150
57,workplace,house,150
58,house,workplace,210
58,workplace,restaurant,60
58,restaurant,workplace,200
58,workplace,restaurant,20
58,restaurant,outdoor,10
58,outdoor,workplace,200
58,workplace,restaurant,30
58,restaurant,outdoor,30
58,outdoor,outdoor,10
58,outdoor,outdoor,15
58,outdoor,outdoor,5
58,outdoor,grocery,30
58,grocery,restaurant,30
58,restaurant,outdoor,30
58,outdoor,restaurant,30
58,restaurant,outdoor,15
58,outdoor,restaurant,15
58,restaurant,restaurant,60
58,restaurant,outdoor,60
58,outdoor,outdoor,5
58,outdoor,outdoor,60
58,outdoor,house,60
